From,To,Puffs,"Puffs per Day","% Temp-Protected","Time per Puff (s)","Time per Day (s)","Energy per Puff (mWh)","Energy per Day (mWh)","Mean Power (W)","Mean Temperature (F)","Mean Peak Temperature (F)"
2017-10-24,2017-10-25,14.54330184262,14.54330184262,0,1.5552135231317,22.617939696629,8.9949377224199,130.81609435273,20.810088967972,,
2017-10-25,2017-12-18,1098.6242200209,20.34489296335,0,1.5552135231317,31.640652663268,8.9949377224199,183.00104517463,20.810088967972,,
2017-12-18,2017-12-19,274.33827611124,274.33827611124,0.72902696202298,1.8106643799861,496.73454462141,9.9719535042187,2735.6885338088,19.736639061744,13.17,607.425
2017-12-19,2017-12-20,736.49420202525,736.49420202525,0,2.028491558735,1493.9722718655,11.287813141703,8313.4089324084,20.298665293258,,
